#	Use the band widths? (0: No, 1: Yes)   WaveLength(Angstrom)
0	0.085885
#	Phi(deg)		Sigma(deg)	Sigma_begin(deg)	Sigma_end(deg)
184.50000  36.36715  35.22982  37.50448
310.95000  38.90882  36.74533  41.07230
147.60000  40.59932  38.47143  42.72721
216.90000  55.73058  53.68658  57.77457
283.95000  12.78005  10.90749  14.65261
353.70000  36.11567  33.95425  38.27709
162.45000  40.49052  37.45199  43.52906
215.10000  22.37060  20.18012  24.56108
229.05000  37.69619  34.57418  40.81819
47.70000  24.31260  22.08338  26.54181
251.10000  31.57619  29.39660  33.75577
15.75000  7.34055  5.44904  9.23207
82.80000  15.41919  13.25128  17.58711
