#	Use the band widths? (0: No, 1: Yes)   WaveLength(Angstrom)
0	0.085885
#	Phi(deg)		Sigma(deg)	Sigma_begin(deg)	Sigma_end(deg)
86.40000  8.98922  7.88633  10.09211
28.80000  5.71083  4.48759  6.93406
313.65000  25.50338  24.34051  26.66624
182.25000  13.29446  12.14789  14.44104
245.70000  40.66939  39.59553  41.74325
147.15000  3.48034  2.34000  4.62068
322.20000  25.06709  22.83498  27.29919
257.40000  15.90471  13.76316  18.04625
348.30000  4.22250  2.27636  6.16865
286.20000  23.54702  21.40893  25.68511
21.60000  8.84192  6.61444  11.06940
224.55000  18.29243  16.06399  20.52087
